epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1104.5,1.16855,1.298,0.92258,0.97993,0.75,0.745,0.32625,2.1151,1.26511,1.17827,0.0006404,0.0006404,0.0006404
105,1114.76,1.01439,1.29547,0.8531,0.98116,0.75,0.745,0.31815,1.91663,1.1772,1.10604,0.0006272,0.0006272,0.0006272
106,1125.07,1.01204,1.27525,0.87063,0.98096,0.75,0.945,0.33533,1.90779,1.22052,1.11263,0.000614,0.000614,0.000614
107,1135.28,0.98984,1.38144,0.91523,0.98096,0.75,0.945,0.33533,1.90779,1.22052,1.11263,0.0006008,0.0006008,0.0006008
108,1145.59,0.90324,1.26737,0.85348,0.98047,0.75,0.745,0.33025,1.93117,1.31871,1.16452,0.0005876,0.0005876,0.0005876
109,1156.08,0.95959,1.13028,0.87301,0.97947,0.75,0.745,0.32712,2.00117,1.332,1.20541,0.0005744,0.0005744,0.0005744
110,1166.39,1.01628,1.52555,0.95236,0.9803,0.75,0.945,0.34712,2.02525,1.29815,1.21184,0.0005612,0.0005612,0.0005612
111,1176.36,0.97315,1.24596,0.85841,0.9803,0.75,0.945,0.34712,2.02525,1.29815,1.21184,0.000548,0.000548,0.000548
112,1186.69,0.95633,1.18136,0.85252,0.98062,0.75,0.945,0.3501,1.95985,1.25839,1.15366,0.0005348,0.0005348,0.0005348
113,1197.03,0.92037,1.15825,0.84591,0.98092,0.75,0.945,0.35228,1.97405,1.21156,1.12202,0.0005216,0.0005216,0.0005216
114,1207.29,1.03108,1.30221,0.89592,0.97964,0.75,0.91167,0.32894,2.00531,1.22132,1.13932,0.0005084,0.0005084,0.0005084
115,1217.72,0.85118,1.02231,0.8038,0.97964,0.75,0.91167,0.32894,2.00531,1.22132,1.13932,0.0004952,0.0004952,0.0004952
116,1228.03,1.03085,1.18109,0.89245,0.9794,0.75,0.91167,0.31589,2.05648,1.30856,1.16981,0.000482,0.000482,0.000482
117,1238.33,0.93603,1.32085,0.83188,0.97916,0.75,0.91167,0.31589,2.06053,1.3095,1.18642,0.0004688,0.0004688,0.0004688
118,1248.85,0.91289,1.187,0.88537,0.9805,0.75,0.945,0.30031,1.98146,1.24837,1.1766,0.0004556,0.0004556,0.0004556
119,1259.31,0.84409,1.17091,0.8481,0.9805,0.75,0.945,0.30031,1.98146,1.24837,1.1766,0.0004424,0.0004424,0.0004424
120,1269.85,0.87536,1.02798,0.84263,0.98061,0.75,0.945,0.3385,1.96417,1.261,1.18514,0.0004292,0.0004292,0.0004292
121,1280.45,0.75762,1.03367,0.82411,0.98088,0.75,0.945,0.28164,1.95497,1.27086,1.18366,0.000416,0.000416,0.000416
122,3452,0.8275,1.15777,0.79871,0.98139,0.75,0.945,0.28603,1.95495,1.27632,1.18132,0.0004028,0.0004028,0.0004028
123,3462.39,0.88577,1.09105,0.90322,0.98139,0.75,0.945,0.28603,1.95495,1.27632,1.18132,0.0003896,0.0003896,0.0003896
124,3471.15,0.91813,1.14683,0.85753,1,0.98179,0.995,0.30233,2.01895,1.32113,1.18336,0.0003764,0.0003764,0.0003764
125,3479.7,0.87083,1.0192,0.88757,1,0.98195,0.995,0.30076,2.0656,1.31546,1.17355,0.0003632,0.0003632,0.0003632
126,3488.19,0.84199,1.09889,0.83385,1,0.982,0.995,0.28512,2.19103,1.37269,1.21122,0.00035,0.00035,0.00035
127,3496.7,0.85946,1.01646,0.8625,1,0.982,0.995,0.28512,2.19103,1.37269,1.21122,0.0003368,0.0003368,0.0003368
128,3505.25,0.76218,0.97403,0.86357,1,0.98103,0.995,0.27743,2.21068,1.39964,1.21011,0.0003236,0.0003236,0.0003236
129,3513.85,0.758,0.99939,0.83544,1,0.98088,0.995,0.27743,2.1684,1.39271,1.19253,0.0003104,0.0003104,0.0003104
130,3522.39,0.8141,1.08782,0.85538,1,0.97956,0.995,0.362,2.09644,1.38577,1.16721,0.0002972,0.0002972,0.0002972
131,3531,0.85678,1.1422,0.88427,1,0.97956,0.995,0.362,2.09644,1.38577,1.16721,0.000284,0.000284,0.000284
132,3539.83,0.78845,1.00256,0.85647,1,0.97765,0.995,0.35589,2.03922,1.3974,1.1588,0.0002708,0.0002708,0.0002708
133,3548.58,0.80434,1.02748,0.83766,1,0.97457,0.995,0.35596,2.00252,1.40029,1.15088,0.0002576,0.0002576,0.0002576
134,3557.42,0.87352,1.02765,0.87351,1,0.97282,0.995,0.35583,2.01195,1.42169,1.1555,0.0002444,0.0002444,0.0002444
135,3566.15,0.74968,0.97255,0.84496,1,0.97282,0.995,0.35583,2.01195,1.42169,1.1555,0.0002312,0.0002312,0.0002312
136,3574.97,0.81516,1.07192,0.88339,1,0.97086,0.995,0.34352,2.01418,1.44764,1.15471,0.000218,0.000218,0.000218
137,3583.81,0.86367,1.04657,0.84939,1,0.97018,0.995,0.34498,2.0178,1.47028,1.15701,0.0002048,0.0002048,0.0002048
138,3592.66,0.86869,1.20073,0.88216,1,0.96927,0.995,0.3527,2.01827,1.48877,1.16291,0.0001916,0.0001916,0.0001916
139,3601.42,0.80241,0.95408,0.86127,1,0.96927,0.995,0.3527,2.01827,1.48877,1.16291,0.0001784,0.0001784,0.0001784
140,3610.21,0.72842,1.00038,0.86534,1,0.96775,0.995,0.34125,2.06083,1.47787,1.19686,0.0001652,0.0001652,0.0001652
141,3619,0.82129,1.05443,0.8551,1,0.96622,0.995,0.34125,2.05943,1.49969,1.20099,0.000152,0.000152,0.000152
142,3627.77,0.75624,1.05054,0.83672,1,0.96777,0.995,0.32325,2.06055,1.48953,1.20783,0.0001388,0.0001388,0.0001388
143,3636.4,0.83329,1.02431,0.84536,1,0.96777,0.995,0.32325,2.06055,1.48953,1.20783,0.0001256,0.0001256,0.0001256
144,3645.15,0.73269,1.00295,0.82203,1,0.9693,0.995,0.33526,2.03615,1.47754,1.20167,0.0001124,0.0001124,0.0001124
145,3653.95,0.82715,1.11674,0.85166,1,0.97074,0.995,0.33516,2.02102,1.4616,1.19381,9.92e-05,9.92e-05,9.92e-05
146,3662.7,0.66848,1.16896,0.82466,1,0.97327,0.995,0.3354,2.00722,1.43025,1.18314,8.6e-05,8.6e-05,8.6e-05
147,3671.39,0.68223,1.05332,0.79146,1,0.97327,0.995,0.3354,2.00722,1.43025,1.18314,7.28e-05,7.28e-05,7.28e-05
148,3680.19,0.71731,1.03894,0.81002,1,0.9745,0.995,0.33625,1.99922,1.4142,1.17613,5.96e-05,5.96e-05,5.96e-05
149,3689.12,0.68933,0.99104,0.84601,1,0.97534,0.995,0.35747,1.99278,1.39166,1.16987,4.64e-05,4.64e-05,4.64e-05
150,3697.91,0.6663,1.00089,0.80762,1,0.97617,0.995,0.35764,1.98274,1.37231,1.16223,3.32e-05,3.32e-05,3.32e-05
